analysis,base_deaths,immune_midpoint,max_vaccines,mortality_reduction_pct,radius,replicate,scenario_deaths,seed,ve_i,ve_m
fig4_immune_onset,916.0,14.0,,10.807860262008735,2,14,817.0,2026800014,0.45,0.45
fig4_immune_onset,882.9999999999999,14.0,,27.633069082672698,2,15,639.0,2026800015,0.45,0.45
fig4_immune_onset,921.0,14.0,,18.349619978284473,2,16,752.0,2026800016,0.45,0.45
fig4_immune_onset,991.0,14.0,,11.099899091826439,2,17,881.0,2026800017,0.45,0.45
fig4_immune_onset,769.0,14.0,,11.833550065019505,2,18,678.0,2026800018,0.45,0.45
fig4_immune_onset,714.0,14.0,,19.467787114845937,2,19,575.0,2026800019,0.45,0.45
fig4_immune_onset,612.0,14.0,,16.013071895424837,2,20,514.0,2026800020,0.45,0.45
fig4_immune_onset,878.9999999999999,14.0,,23.435722411831616,2,21,673.0,2026800021,0.45,0.45
fig4_immune_onset,568.0,14.0,,10.915492957746478,2,22,506.0,2026800022,0.45,0.45
fig4_immune_onset,877.0,14.0,,25.541619156214367,2,23,653.0,2026800023,0.45,0.45
fig4_immune_onset,693.0,14.0,,27.417027417027416,2,24,503.0,2026800024,0.45,0.45
fig4_immune_onset,780.0,14.0,,15.256410256410257,2,25,661.0,2026800025,0.45,0.45
fig4_immune_onset,583.0,14.0,,19.725557461406517,2,26,468.0,2026800026,0.45,0.45
fig4_immune_onset,1001.0,14.0,,21.078921078921066,2,27,790.0000000000001,2026800027,0.45,0.45
fig4_immune_onset,703.0,14.0,,21.47937411095306,2,28,552.0,2026800028,0.45,0.45
fig4_immune_onset,589.0,14.0,,8.488964346349745,2,29,539.0,2026800029,0.45,0.45
fig4_immune_onset,589.0,14.0,,12.733446519524618,2,30,514.0,2026800030,0.45,0.45
fig4_immune_onset,884.0000000000001,14.0,,3.1674208144796503,2,31,856.0,2026800031,0.45,0.45
fig4_immune_onset,786.0000000000001,14.0,,32.188295165394415,2,32,533.0,2026800032,0.45,0.45
fig4_immune_onset,778.0,14.0,,14.652956298200515,2,33,664.0,2026800033,0.45,0.45
fig4_immune_onset,916.9999999999999,14.0,,25.627044711014168,2,34,682.0,2026800034,0.45,0.45
fig4_immune_onset,1041.0,14.0,,32.27665706051873,2,35,705.0,2026800035,0.45,0.45
fig4_immune_onset,878.0,14.0,,2.733485193621855,2,36,854.0000000000001,2026800036,0.45,0.45
fig4_immune_onset,848.0,14.0,,19.339622641509433,2,37,684.0,2026800037,0.45,0.45
fig4_immune_onset,1103.0,14.0,,42.067089755213054,2,38,639.0,2026800038,0.45,0.45
fig4_immune_onset,878.0,14.0,,34.39635535307517,2,39,576.0,2026800039,0.45,0.45
fig4_immune_onset,835.9999999999999,14.0,,30.98086124401913,2,40,577.0,2026800040,0.45,0.45
fig4_immune_onset,621.0,14.0,,27.214170692431573,2,41,451.99999999999994,2026800041,0.45,0.45
fig4_immune_onset,906.0,14.0,,21.96467991169978,2,42,707.0,2026800042,0.45,0.45
fig4_immune_onset,768.0,14.0,,3.2552083333333335,2,43,743.0,2026800043,0.45,0.45
fig4_immune_onset,634.0,14.0,,39.11671924290221,2,44,386.0,2026800044,0.45,0.45
fig4_immune_onset,682.0,14.0,,18.475073313782993,2,45,556.0,2026800045,0.45,0.45
fig4_immune_onset,799.0000000000001,14.0,,33.792240300375475,2,46,529.0,2026800046,0.45,0.45
fig4_immune_onset,922.0000000000001,14.0,,7.5921908893709436,2,47,852.0,2026800047,0.45,0.45
fig4_immune_onset,755.0,14.0,,54.966887417218544,2,48,340.0,2026800048,0.45,0.45
fig4_immune_onset,841.0000000000001,14.0,,12.009512485136753,2,49,740.0,2026800049,0.45,0.45
fig4_immune_onset,1029.0,14.0,,28.862973760932945,2,50,732.0,2026800050,0.45,0.45
fig4_immune_onset,716.0,14.0,,27.932960893854748,2,51,516.0,2026800051,0.45,0.45
fig4_immune_onset,671.0,14.0,,20.566318926974663,2,52,533.0,2026800052,0.45,0.45
fig4_immune_onset,814.0,14.0,,22.35872235872236,2,53,632.0,2026800053,0.45,0.45
fig4_immune_onset,486.0,14.0,,17.695473251028808,2,54,400.0,2026800054,0.45,0.45
fig4_immune_onset,863.0,14.0,,22.363847045191193,2,55,670.0,2026800055,0.45,0.45
fig4_immune_onset,950.0,14.0,,21.36842105263158,2,56,747.0,2026800056,0.45,0.45
fig4_immune_onset,768.0,14.0,,40.364583333333336,2,57,458.0,2026800057,0.45,0.45
fig4_immune_onset,1063.0,14.0,,31.420507996237063,2,58,729.0,2026800058,0.45,0.45
fig4_immune_onset,920.0,14.0,,31.304347826086957,2,59,632.0,2026800059,0.45,0.45
fig4_immune_onset,711.0,14.0,,45.56962025316456,2,60,387.0,2026800060,0.45,0.45
fig4_immune_onset,659.0,14.0,,6.373292867981791,2,61,617.0,2026800061,0.45,0.45
fig4_immune_onset,673.0,14.0,,39.821693907875186,2,62,405.0,2026800062,0.45,0.45
fig4_immune_onset,738.0,14.0,,34.010840108401084,2,63,487.0,2026800063,0.45,0.45
fig4_immune_onset,895.9999999999999,14.0,,33.03571428571428,2,64,600.0,2026800064,0.45,0.45
fig4_immune_onset,835.0,14.0,,7.065868263473054,2,65,776.0,2026800065,0.45,0.45
fig4_immune_onset,970.0,14.0,,28.556701030927837,2,66,693.0,2026800066,0.45,0.45
fig4_immune_onset,651.0,14.0,,27.188940092165886,2,67,474.00000000000006,2026800067,0.45,0.45
fig4_immune_onset,550.0,14.0,,22.181818181818183,2,68,428.0,2026800068,0.45,0.45
fig4_immune_onset,698.0,14.0,,12.177650429799426,2,69,613.0,2026800069,0.45,0.45
fig4_immune_onset,664.0,14.0,,12.650602409638553,2,70,580.0,2026800070,0.45,0.45
fig4_immune_onset,924.0,14.0,,18.939393939393938,2,71,749.0,2026800071,0.45,0.45
fig4_immune_onset,1057.0,14.0,,33.6802270577105,2,72,701.0,2026800072,0.45,0.45
fig4_immune_onset,905.0000000000001,14.0,,14.806629834254155,2,73,771.0,2026800073,0.45,0.45
fig4_immune_onset,915.0,14.0,,15.519125683060109,2,74,773.0,2026800074,0.45,0.45
fig4_immune_onset,919.0,14.0,,26.985854189336234,2,75,671.0,2026800075,0.45,0.45
fig4_immune_onset,888.0000000000001,14.0,,39.52702702702704,2,76,537.0,2026800076,0.45,0.45
fig4_immune_onset,683.0,14.0,,28.989751098096633,2,77,485.0,2026800077,0.45,0.45
fig4_immune_onset,978.0,14.0,,35.2760736196319,2,78,633.0,2026800078,0.45,0.45
fig4_immune_onset,966.0,14.0,,28.985507246376812,2,79,686.0,2026800079,0.45,0.45
fig4_immune_onset,1100.0,14.0,,12.272727272727263,2,80,965.0000000000001,2026800080,0.45,0.45
