analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,924.0,0.4,0,76.19047619047619,2,15,1.0,220.0,2026705015,0.75,0.75
fig3_risk_compensation,1178.0,0.4,0,78.26825127334465,2,16,1.0,256.0,2026705016,0.75,0.75
fig3_risk_compensation,1151.0,0.4,0,79.66985230234579,2,17,1.0,234.0,2026705017,0.75,0.75
fig3_risk_compensation,1050.0,0.4,0,80.85714285714286,2,18,1.0,201.0,2026705018,0.75,0.75
fig3_risk_compensation,1680.0,0.4,0,79.52380952380952,2,19,1.0,344.0,2026705019,0.75,0.75
fig3_risk_compensation,1263.0,0.4,0,78.93903404592241,2,20,1.0,266.0,2026705020,0.75,0.75
fig3_risk_compensation,1259.0,0.4,0,82.20810166799046,2,21,1.0,223.99999999999997,2026705021,0.75,0.75
fig3_risk_compensation,931.0,0.4,0,74.97314715359828,2,22,1.0,233.0,2026705022,0.75,0.75
fig3_risk_compensation,1016.0000000000001,0.4,0,83.75984251968505,2,23,1.0,165.0,2026705023,0.75,0.75
fig3_risk_compensation,984.9999999999999,0.4,0,70.96446700507613,2,24,1.0,286.0,2026705024,0.75,0.75
fig3_risk_compensation,1040.0,0.4,0,77.6923076923077,2,25,1.0,232.0,2026705025,0.75,0.75
fig3_risk_compensation,1150.0,0.4,0,71.04347826086956,2,26,1.0,333.0,2026705026,0.75,0.75
fig3_risk_compensation,1371.0,0.4,0,76.2217359591539,2,27,1.0,326.0,2026705027,0.75,0.75
fig3_risk_compensation,892.0000000000001,0.4,0,78.25112107623319,2,28,1.0,194.0,2026705028,0.75,0.75
fig3_risk_compensation,735.0,0.4,0,78.91156462585035,2,29,1.0,155.0,2026705029,0.75,0.75
fig3_risk_compensation,903.0,0.4,0,74.64008859357696,2,30,1.0,229.0,2026705030,0.75,0.75
fig3_risk_compensation,1162.0,0.4,0,79.51807228915662,2,31,1.0,238.00000000000003,2026705031,0.75,0.75
fig3_risk_compensation,1082.0,0.4,0,77.7264325323475,2,32,1.0,240.99999999999997,2026705032,0.75,0.75
fig3_risk_compensation,823.0,0.4,0,71.93195625759417,2,33,1.0,231.0,2026705033,0.75,0.75
fig3_risk_compensation,1620.9999999999998,0.4,0,78.90191239975323,2,34,1.0,342.0,2026705034,0.75,0.75
fig3_risk_compensation,861.0,0.4,0,72.82229965156795,2,35,1.0,234.0,2026705035,0.75,0.75
fig3_risk_compensation,1042.0,0.4,0,81.19001919385796,2,36,1.0,196.0,2026705036,0.75,0.75
fig3_risk_compensation,894.0,0.4,0,76.51006711409396,2,37,1.0,210.0,2026705037,0.75,0.75
fig3_risk_compensation,1389.0,0.4,0,82.4334053275738,2,38,1.0,244.0,2026705038,0.75,0.75
fig3_risk_compensation,1215.0,0.4,0,82.63374485596708,2,39,1.0,211.0,2026705039,0.75,0.75
fig3_risk_compensation,1403.0,0.4,0,73.84176764076977,2,40,1.0,367.0,2026705040,0.75,0.75
fig3_risk_compensation,1282.0,0.4,0,81.43525741029642,2,41,1.0,238.00000000000003,2026705041,0.75,0.75
fig3_risk_compensation,1186.0,0.4,0,83.30522765598651,2,42,1.0,198.0,2026705042,0.75,0.75
fig3_risk_compensation,1321.0,0.4,0,82.81604844814534,2,43,1.0,227.0,2026705043,0.75,0.75
fig3_risk_compensation,1553.0,0.4,0,84.9967804249839,2,44,1.0,233.0,2026705044,0.75,0.75
fig3_risk_compensation,912.0,0.4,0,73.46491228070175,2,45,1.0,241.99999999999997,2026705045,0.75,0.75
fig3_risk_compensation,1057.0,0.4,0,81.5515610217597,2,46,1.0,195.0,2026705046,0.75,0.75
fig3_risk_compensation,1459.0,0.4,0,81.15147361206306,2,47,1.0,275.0,2026705047,0.75,0.75
fig3_risk_compensation,1237.0,0.4,0,76.1519805982215,2,48,1.0,295.0,2026705048,0.75,0.75
fig3_risk_compensation,1245.0,0.4,0,78.55421686746988,2,49,1.0,267.0,2026705049,0.75,0.75
fig3_risk_compensation,1127.0,0.4,0,79.5031055900621,2,50,1.0,231.0,2026705050,0.75,0.75
fig3_risk_compensation,1348.0,0.4,0,78.63501483679525,2,51,1.0,288.0,2026705051,0.75,0.75
fig3_risk_compensation,950.0,0.4,0,80.3157894736842,2,52,1.0,187.0,2026705052,0.75,0.75
fig3_risk_compensation,1221.0,0.4,0,77.8050778050778,2,53,1.0,271.0,2026705053,0.75,0.75
fig3_risk_compensation,1050.0,0.4,0,78.38095238095238,2,54,1.0,227.0,2026705054,0.75,0.75
fig3_risk_compensation,1106.0,0.4,0,78.20976491862568,2,55,1.0,240.99999999999997,2026705055,0.75,0.75
fig3_risk_compensation,1240.0,0.4,0,76.93548387096774,2,56,1.0,286.0,2026705056,0.75,0.75
fig3_risk_compensation,1239.0,0.4,0,81.4366424535916,2,57,1.0,230.0,2026705057,0.75,0.75
fig3_risk_compensation,1325.0,0.4,0,78.94339622641509,2,58,1.0,279.0,2026705058,0.75,0.75
fig3_risk_compensation,803.0000000000001,0.4,0,69.73848069738482,2,59,1.0,243.0,2026705059,0.75,0.75
fig3_risk_compensation,950.0,0.4,0,80.42105263157895,2,60,1.0,186.0,2026705060,0.75,0.75
fig3_risk_compensation,933.0,0.4,0,75.34833869239014,2,61,1.0,230.0,2026705061,0.75,0.75
fig3_risk_compensation,1220.0,0.4,0,80.0,2,62,1.0,244.0,2026705062,0.75,0.75
fig3_risk_compensation,868.0,0.4,0,75.92165898617512,2,63,1.0,208.99999999999997,2026705063,0.75,0.75
fig3_risk_compensation,1173.0,0.4,0,76.21483375959079,2,64,1.0,279.0,2026705064,0.75,0.75
fig3_risk_compensation,929.0,0.4,0,68.89128094725511,2,65,1.0,289.0,2026705065,0.75,0.75
fig3_risk_compensation,1184.0,0.4,0,80.06756756756756,2,66,1.0,236.0,2026705066,0.75,0.75
fig3_risk_compensation,929.9999999999999,0.4,0,66.77419354838709,2,67,1.0,309.0,2026705067,0.75,0.75
fig3_risk_compensation,1288.0,0.4,0,81.52173913043478,2,68,1.0,238.00000000000003,2026705068,0.75,0.75
fig3_risk_compensation,648.0,0.4,0,67.74691358024691,2,69,1.0,208.99999999999997,2026705069,0.75,0.75
fig3_risk_compensation,1661.0,0.4,0,82.05900060204696,2,70,1.0,298.0,2026705070,0.75,0.75
fig3_risk_compensation,1229.0,0.4,0,80.79739625711962,2,71,1.0,236.0,2026705071,0.75,0.75
fig3_risk_compensation,1001.9999999999999,0.4,0,70.15968063872255,2,72,1.0,299.0,2026705072,0.75,0.75
fig3_risk_compensation,1328.0,0.4,0,83.8855421686747,2,73,1.0,214.0,2026705073,0.75,0.75
fig3_risk_compensation,942.0,0.4,0,82.48407643312102,2,74,1.0,165.0,2026705074,0.75,0.75
fig3_risk_compensation,1209.0,0.4,0,77.91563275434243,2,75,1.0,267.0,2026705075,0.75,0.75
fig3_risk_compensation,1286.0,0.4,0,77.52721617418351,2,76,1.0,289.0,2026705076,0.75,0.75
fig3_risk_compensation,1113.0,0.4,0,74.93261455525607,2,77,1.0,279.0,2026705077,0.75,0.75
fig3_risk_compensation,1267.0,0.4,0,79.40015785319653,2,78,1.0,261.0,2026705078,0.75,0.75
fig3_risk_compensation,1225.0,0.4,0,73.87755102040816,2,79,1.0,320.0,2026705079,0.75,0.75
fig3_risk_compensation,954.0,0.4,0,78.51153039832285,2,80,1.0,205.00000000000003,2026705080,0.75,0.75
