draw_id,scenario,mean_cases,mean_deaths,mean_doses,comparator_mean_deaths,deaths_averted_pct
32,no_vax_ring1_base_ops,3104.06,1414.96,0.0,1211.94,-16.751654372328662
32,no_vax_ring1_enh_ops,620.6,283.62,0.0,1414.96,79.95561711991859
32,ring1_vax_base_ops,2954.42,1339.04,3882.36,1414.96,5.365522700288352
32,ring1_vax_enh_ops,583.54,263.78,6873.18,1414.96,81.35777689828687
32,comm_base_20,1469.96,650.68,20000.0,1211.94,46.31087347558461
32,comm_base_40,815.44,346.96,40000.0,1211.94,71.37152004224632
32,comm_base_60,496.08,201.22,60000.0,1211.94,83.39686783174083
32,comm_base_80,334.22,126.22,80000.0,1211.94,89.5852930013037
33,no_vax_base_ops,2610.7,1181.88,0.0,1181.88,0.0
33,vax_base_ops,2353.9,1056.58,7932.94,1181.88,10.601753139066586
33,no_vax_enh_ops,547.46,248.42,0.0,1181.88,78.98094561207569
33,vax_enh_ops,545.24,245.88,8220.3,1181.88,79.1958574474566
33,incremental_ring_vax,545.24,245.88,8220.3,248.42,1.0224619595845714
33,no_vax_ring1_base_ops,3020.76,1369.04,0.0,1181.88,-15.83578705113885
33,no_vax_ring1_enh_ops,963.72,438.0,0.0,1369.04,68.00677847250628
33,ring1_vax_base_ops,2878.16,1296.28,4538.16,1369.04,5.314673055571787
33,ring1_vax_enh_ops,921.32,416.02,7834.52,1369.04,69.61228305966225
33,comm_base_20,1394.72,612.72,20000.0,1181.88,48.15717331708803
33,comm_base_40,821.08,347.9,40000.0,1181.88,70.56384742951907
33,comm_base_60,521.04,209.66,60000.0,1181.88,82.26046637560498
33,comm_base_80,373.44,141.68,80000.0,1181.88,88.01231935560293
34,no_vax_base_ops,1893.22,856.68,0.0,856.68,0.0
34,vax_base_ops,1747.22,785.64,7849.32,856.68,8.292477938086563
34,no_vax_enh_ops,327.48,146.98,0.0,856.68,82.84306859037214
34,vax_enh_ops,318.58,141.74,8239.96,856.68,83.45473222206658
34,incremental_ring_vax,318.58,141.74,8239.96,146.98,3.565110899442088
34,no_vax_ring1_base_ops,2122.58,960.94,0.0,856.68,-12.170238595508254
34,no_vax_ring1_enh_ops,441.4,199.2,0.0,960.94,79.27029783337149
34,ring1_vax_base_ops,2003.12,901.66,3243.42,960.94,6.168959560430421
34,ring1_vax_enh_ops,416.82,185.2,6935.26,960.94,80.7272046121506
34,comm_base_20,1013.42,446.02,20000.0,856.68,47.936218891534764
34,comm_base_40,568.28,240.76,40000.0,856.68,71.89615725825279
34,comm_base_60,359.26,143.26,60000.0,856.68,83.27730307699491
34,comm_base_80,246.0,89.4,80000.0,856.68,89.56436475696877
35,no_vax_base_ops,2380.3,1083.44,0.0,1083.44,0.0
35,vax_base_ops,2200.66,993.46,7827.7,1083.44,8.30502842797017
35,no_vax_enh_ops,383.68,176.26,0.0,1083.44,83.73144798050653
35,vax_enh_ops,376.92,172.16,8277.96,1083.44,84.10987225873146
35,incremental_ring_vax,376.92,172.16,8277.96,176.26,2.3261091569272634
35,no_vax_ring1_base_ops,2699.26,1228.3,0.0,1083.44,-13.37037583991729
35,no_vax_ring1_enh_ops,544.06,247.7,0.0,1228.3,79.8339167955711
35,ring1_vax_base_ops,2538.98,1149.1,3267.72,1228.3,6.447936171944969
35,ring1_vax_enh_ops,503.32,226.22,7259.04,1228.3,81.58267524220467
35,comm_base_20,1375.26,606.32,20000.0,1083.44,44.03751015284649
35,comm_base_40,835.34,353.3,40000.0,1083.44,67.3909030495459
35,comm_base_60,551.84,221.68,60000.0,1083.44,79.53924536661005
35,comm_base_80,386.28,146.7,80000.0,1083.44,86.45979472790371
36,no_vax_base_ops,2270.92,1029.96,0.0,1029.96,0.0
36,vax_base_ops,2140.12,965.06,8030.72,1029.96,6.301215581187628
36,no_vax_enh_ops,402.04,181.22,0.0,1029.96,82.40514194726009
36,vax_enh_ops,388.92,174.5,8347.08,1029.96,83.05759446968814
36,incremental_ring_vax,388.92,174.5,8347.08,181.22,3.7081999779273804
36,no_vax_ring1_base_ops,2588.74,1176.88,0.0,1029.96,-14.264631636180052
36,no_vax_ring1_enh_ops,586.92,265.08,0.0,1176.88,77.47603833865816
36,ring1_vax_base_ops,2395.14,1083.88,4277.96,1176.88,7.902250016994086
36,ring1_vax_enh_ops,547.8,244.64,7680.74,1176.88,79.21283393379105
36,comm_base_20,1216.36,537.9,20000.0,1029.96,47.77467086100432
36,comm_base_40,691.4,294.14,40000.0,1029.96,71.44160938288866
36,comm_base_60,439.62,177.54,60000.0,1029.96,82.76243737620878
36,comm_base_80,298.08,113.08,80000.0,1029.96,89.02093285176123
37,no_vax_base_ops,2022.36,919.94,0.0,919.94,0.0
37,vax_base_ops,1911.6,863.34,8015.4,919.94,6.152575167945737
