cell,ve_i,ve_m,n_replicates,median_cases,median_deaths,median_doses,median_mortality_reduction_pct
vei_0.300_vem_0.075,0.300,0.075,100,815.0,369.0,40000.0,55.22635392284617
vei_0.300_vem_0.150,0.300,0.150,100,815.0,363.0,40000.0,55.90237728719083
vei_0.300_vem_0.225,0.300,0.225,100,815.0,354.0,40000.0,56.57409238542685
vei_0.300_vem_0.300,0.300,0.300,100,815.0,349.0,40000.0,57.513381617449824
vei_0.300_vem_0.375,0.300,0.375,100,815.0,341.5,40000.0,58.41066760708196
vei_0.300_vem_0.450,0.300,0.450,100,815.0,338.0,40000.0,58.98572724081963
vei_0.300_vem_0.525,0.300,0.525,100,815.0,333.5,40000.0,59.79987931845844
vei_0.300_vem_0.600,0.300,0.600,100,815.0,325.5,40000.0,60.36356250634711
vei_0.300_vem_0.675,0.300,0.675,100,815.0,318.0,40000.0,61.15702141739617
vei_0.300_vem_0.750,0.300,0.750,100,815.0,314.0,40000.0,61.90095659090842
vei_0.300_vem_0.825,0.300,0.825,100,815.0,307.5,40000.0,62.567913845178445
vei_0.300_vem_0.900,0.300,0.900,100,815.0,299.5,40000.0,63.65827778413744
vei_0.375_vem_0.000,0.375,0.000,100,719.0,331.5,40000.0,59.74377607951615
vei_0.375_vem_0.075,0.375,0.075,100,719.0,328.5,40000.0,60.35433789077502
vei_0.375_vem_0.150,0.375,0.150,100,719.0,323.5,40000.0,60.92981927819473
vei_0.375_vem_0.225,0.375,0.225,100,719.0,317.0,40000.0,61.545404054429326
vei_0.375_vem_0.300,0.375,0.300,100,719.0,314.5,40000.0,62.39936892375917
vei_0.375_vem_0.375,0.375,0.375,100,719.0,309.5,40000.0,63.05513991103511
vei_0.375_vem_0.450,0.375,0.450,100,719.0,304.5,40000.0,63.47328072218902
vei_0.375_vem_0.525,0.375,0.525,100,719.0,298.5,40000.0,63.94126803820102
vei_0.375_vem_0.600,0.375,0.600,100,719.0,292.0,40000.0,64.59372536835988
vei_0.375_vem_0.675,0.375,0.675,100,719.0,288.0,40000.0,64.89402364571225
