analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,risk,scenario_deaths,seed,trace,ve
fig3_risk_compensation,584.0,0.4,0.3,0,0.0,77,1.0,584.0,2026584077,0.3,0.0
fig3_risk_compensation,1209.0,0.4,0.3,0,0.0,78,1.0,1209.0,2026584078,0.3,0.0
fig3_risk_compensation,766.0,0.4,0.3,0,0.0,79,1.0,766.0,2026584079,0.3,0.0
fig3_risk_compensation,835.0,0.4,0.3,0,0.0,80,1.0,835.0,2026584080,0.3,0.0
fig3_risk_compensation,1041.0,0.4,0.3,0,0.0,81,1.0,1041.0,2026584081,0.3,0.0
fig3_risk_compensation,584.0,0.4,0.3,0,0.0,82,1.0,584.0,2026584082,0.3,0.0
fig3_risk_compensation,876.0,0.4,0.3,0,0.0,83,1.0,876.0,2026584083,0.3,0.0
fig3_risk_compensation,726.0,0.4,0.3,0,0.0,84,1.0,726.0,2026584084,0.3,0.0
fig3_risk_compensation,733.0,0.4,0.3,0,0.0,85,1.0,733.0,2026584085,0.3,0.0
fig3_risk_compensation,1065.0,0.4,0.3,0,0.0,86,1.0,1065.0,2026584086,0.3,0.0
fig3_risk_compensation,698.0,0.4,0.3,0,0.0,87,1.0,698.0,2026584087,0.3,0.0
fig3_risk_compensation,653.0,0.4,0.3,0,0.0,88,1.0,653.0,2026584088,0.3,0.0
fig3_risk_compensation,1013.0,0.4,0.3,0,0.0,89,1.0,1013.0,2026584089,0.3,0.0
fig3_risk_compensation,803.0000000000001,0.4,0.3,0,0.0,90,1.0,803.0000000000001,2026584090,0.3,0.0
fig3_risk_compensation,641.0,0.4,0.3,0,0.0,91,1.0,641.0,2026584091,0.3,0.0
fig3_risk_compensation,1004.0,0.4,0.3,0,0.0,92,1.0,1004.0,2026584092,0.3,0.0
fig3_risk_compensation,831.9999999999999,0.4,0.3,0,0.0,93,1.0,831.9999999999999,2026584093,0.3,0.0
fig3_risk_compensation,950.9999999999999,0.4,0.3,0,0.0,94,1.0,950.9999999999999,2026584094,0.3,0.0
fig3_risk_compensation,911.0,0.4,0.3,0,0.0,95,1.0,911.0,2026584095,0.3,0.0
