strategy,horizon,replicate_id,simulation_seed,cases,deaths,doses
vax_base_ops,90,18,2026080418,1122.0,505.0,7355
vax_enh_ops,90,18,2026080418,254.00000000000003,118.0,8261
comm_base_40,90,18,2026080418,637.0,266.0,40000
comm_base_60,90,18,2026080418,527.0,216.0,60000
no_vax_base_ops,180,18,2026080418,4974.0,2288.0,0
no_vax_enh_ops,180,18,2026080418,304.0,147.0,0
vax_base_ops,180,18,2026080418,1895.0000000000002,851.0,16139
vax_enh_ops,180,18,2026080418,254.00000000000003,118.0,17234
comm_base_40,180,18,2026080418,869.9999999999999,366.0,40000
comm_base_60,180,18,2026080418,547.0,223.99999999999997,60000
no_vax_base_ops,90,17,2026080417,1872.0,844.0,0
no_vax_enh_ops,90,17,2026080417,360.0,179.0,0
vax_base_ops,90,17,2026080417,1467.0,627.0,7501
vax_enh_ops,90,17,2026080417,317.0,152.0,8271
comm_base_40,90,17,2026080417,710.0,301.0,40000
comm_base_60,90,17,2026080417,425.00000000000006,189.0,60000
no_vax_base_ops,180,17,2026080417,7396.0,3336.0,0
no_vax_enh_ops,180,17,2026080417,361.0,180.0,0
vax_base_ops,180,17,2026080417,2625.0,1155.0,16233
vax_enh_ops,180,17,2026080417,317.0,152.0,17209
comm_base_40,180,17,2026080417,1128.0,466.99999999999994,40000
comm_base_60,180,17,2026080417,428.0,191.0,60000
no_vax_base_ops,90,19,2026080419,1831.0,810.9999999999999,0
no_vax_enh_ops,90,19,2026080419,249.0,118.0,0
vax_base_ops,90,19,2026080419,1324.0,579.0,7221
vax_enh_ops,90,19,2026080419,253.0,117.0,8183
comm_base_40,90,19,2026080419,788.0,347.0,40000
comm_base_60,90,19,2026080419,466.99999999999994,186.0,60000
no_vax_base_ops,180,19,2026080419,6161.0,2775.0,0
no_vax_enh_ops,180,19,2026080419,249.0,118.0,0
vax_base_ops,180,19,2026080419,2533.0,1090.0,15986
vax_enh_ops,180,19,2026080419,255.00000000000003,117.0,17119
comm_base_40,180,19,2026080419,1156.0,498.0,40000
comm_base_60,180,19,2026080419,487.0,191.0,60000
no_vax_base_ops,90,20,2026080420,2209.0,1020.0000000000001,0
no_vax_enh_ops,90,20,2026080420,275.0,131.0,0
vax_base_ops,90,20,2026080420,1531.0,682.0,7408
vax_enh_ops,90,20,2026080420,259.0,119.99999999999999,8164
comm_base_40,90,20,2026080420,646.0,276.0,40000
comm_base_60,90,20,2026080420,529.0,211.0,60000
no_vax_base_ops,180,20,2026080420,7581.0,3512.0,0
no_vax_enh_ops,180,20,2026080420,275.0,131.0,0
vax_base_ops,180,20,2026080420,2838.0,1249.0,16133
vax_enh_ops,180,20,2026080420,259.0,119.99999999999999,17117
comm_base_40,180,20,2026080420,945.0,408.00000000000006,40000
comm_base_60,180,20,2026080420,583.0,232.0,60000
no_vax_base_ops,90,21,2026080421,2046.9999999999998,957.0,0
no_vax_enh_ops,90,21,2026080421,387.0,186.0,0
vax_base_ops,90,21,2026080421,1511.0,689.0,7036
vax_enh_ops,90,21,2026080421,232.0,103.99999999999999,8123
comm_base_40,90,21,2026080421,586.0,279.0,40000
comm_base_60,90,21,2026080421,516.0,223.99999999999997,60000
no_vax_base_ops,180,21,2026080421,7269.000000000001,3250.0,0
no_vax_enh_ops,180,21,2026080421,402.0,194.0,0
vax_base_ops,180,21,2026080421,2643.0,1196.0,15786
vax_enh_ops,180,21,2026080421,232.0,103.99999999999999,17108
comm_base_40,180,21,2026080421,666.0,315.0,40000
comm_base_60,180,21,2026080421,609.0,270.0,60000
no_vax_base_ops,90,22,2026080422,1667.0,772.0,0
no_vax_enh_ops,90,22,2026080422,235.0,110.0,0
vax_base_ops,90,22,2026080422,1181.0,519.0,7714
vax_enh_ops,90,22,2026080422,218.0,100.0,8320
comm_base_40,90,22,2026080422,569.0,248.0,40000
comm_base_60,90,22,2026080422,311.0,132.0,60000
no_vax_base_ops,180,22,2026080422,5392.0,2450.0,0
no_vax_enh_ops,180,22,2026080422,237.00000000000003,110.0,0
vax_base_ops,180,22,2026080422,2575.0,1120.0,16459
vax_enh_ops,180,22,2026080422,218.0,100.0,17275
comm_base_40,180,22,2026080422,678.0,299.0,40000
comm_base_60,180,22,2026080422,322.0,136.0,60000
no_vax_base_ops,90,23,2026080423,2221.0,973.0000000000001,0
no_vax_enh_ops,90,23,2026080423,387.0,186.0,0
vax_base_ops,90,23,2026080423,1500.0,653.0,7326
vax_enh_ops,90,23,2026080423,377.0,179.0,8118
comm_base_40,90,23,2026080423,632.0,276.0,40000
comm_base_60,90,23,2026080423,419.0,182.0,60000
no_vax_base_ops,180,23,2026080423,8304.0,3706.0000000000005,0
no_vax_enh_ops,180,23,2026080423,415.99999999999994,202.0,0
vax_base_ops,180,23,2026080423,3106.0,1313.0,16024
vax_enh_ops,180,23,2026080423,386.0,182.0,17082
comm_base_40,180,23,2026080423,736.0,309.0,40000
comm_base_60,180,23,2026080423,461.00000000000006,200.0,60000
no_vax_base_ops,90,24,2026080424,1968.0,937.0,0
no_vax_enh_ops,90,24,2026080424,320.0,158.0,0
vax_base_ops,90,24,2026080424,1136.0,529.0,7100
vax_enh_ops,90,24,2026080424,305.0,149.0,8042
comm_base_40,90,24,2026080424,603.0,275.0,40000
comm_base_60,90,24,2026080424,384.0,160.0,60000
no_vax_base_ops,180,24,2026080424,8537.0,3969.0000000000005,0
no_vax_enh_ops,180,24,2026080424,320.0,158.0,0
vax_base_ops,180,24,2026080424,2440.0,1103.0,15839
vax_enh_ops,180,24,2026080424,304.0,149.0,16995
comm_base_40,180,24,2026080424,769.0,345.0,40000
comm_base_60,180,24,2026080424,400.99999999999994,163.0,60000
no_vax_base_ops,90,25,2026080425,1381.0,626.0,0
no_vax_enh_ops,90,25,2026080425,392.0,166.0,0
vax_base_ops,90,25,2026080425,1091.0,466.99999999999994,7638
vax_enh_ops,90,25,2026080425,263.0,112.99999999999999,7944
comm_base_40,90,25,2026080425,634.0,258.0,40000
comm_base_60,90,25,2026080425,274.0,108.0,60000
no_vax_base_ops,180,25,2026080425,3922.0,1733.0000000000002,0
no_vax_enh_ops,180,25,2026080425,406.0,170.0,0
vax_base_ops,180,25,2026080425,1914.0,827.0,16429
vax_enh_ops,180,25,2026080425,267.0,112.99999999999999,16897
comm_base_40,180,25,2026080425,841.0000000000001,345.0,40000
comm_base_60,180,25,2026080425,274.0,108.0,60000
no_vax_base_ops,90,26,2026080426,2244.0,1055.0,0
no_vax_enh_ops,90,26,2026080426,238.00000000000003,108.0,0
vax_base_ops,90,26,2026080426,1495.0,661.0,7403
vax_enh_ops,90,26,2026080426,218.0,94.0,8309
comm_base_40,90,26,2026080426,560.0,237.00000000000003,40000
comm_base_60,90,26,2026080426,553.0,227.0,60000
no_vax_base_ops,180,26,2026080426,8575.0,3923.9999999999995,0
no_vax_enh_ops,180,26,2026080426,239.99999999999997,108.0,0
vax_base_ops,180,26,2026080426,2645.0,1205.0,16170
vax_enh_ops,180,26,2026080426,218.0,94.0,17258
comm_base_40,180,26,2026080426,628.0,261.0,40000
comm_base_60,180,26,2026080426,587.0,237.00000000000003,60000
no_vax_base_ops,90,28,2026080428,1424.0,646.0,0
no_vax_enh_ops,90,28,2026080428,267.0,120.99999999999999,0
vax_base_ops,90,28,2026080428,1269.0,556.0,7248
vax_enh_ops,90,28,2026080428,238.00000000000003,105.0,8363
comm_base_40,90,28,2026080428,620.0,268.0,40000
comm_base_60,90,28,2026080428,424.0,174.0,60000
no_vax_base_ops,180,28,2026080428,3898.0,1786.0,0
no_vax_enh_ops,180,28,2026080428,267.0,120.99999999999999,0
vax_base_ops,180,28,2026080428,2572.0,1133.0,15955
vax_enh_ops,180,28,2026080428,239.99999999999997,106.0,17302
comm_base_40,180,28,2026080428,801.0,347.0,40000
comm_base_60,180,28,2026080428,447.99999999999994,186.0,60000
no_vax_base_ops,90,30,2026080430,1422.0,587.0,0
no_vax_enh_ops,90,30,2026080430,243.0,101.0,0
vax_base_ops,90,30,2026080430,1084.0,440.0,7682
vax_enh_ops,90,30,2026080430,280.0,114.0,8040
comm_base_40,90,30,2026080430,479.99999999999994,180.0,40000
comm_base_60,90,30,2026080430,283.0,102.00000000000001,60000
no_vax_base_ops,180,30,2026080430,4183.0,1854.0,0
no_vax_enh_ops,180,30,2026080430,247.0,103.00000000000001,0
vax_base_ops,180,30,2026080430,2048.0,823.0,16468
vax_enh_ops,180,30,2026080430,280.0,114.0,16984
comm_base_40,180,30,2026080430,510.00000000000006,191.0,40000
comm_base_60,180,30,2026080430,288.0,103.99999999999999,60000
no_vax_base_ops,90,27,2026080427,1934.0,881.0,0
no_vax_enh_ops,90,27,2026080427,443.0,197.0,0
vax_base_ops,90,27,2026080427,1379.0,615.0,8107
vax_enh_ops,90,27,2026080427,325.0,147.0,8300
comm_base_40,90,27,2026080427,658.0,276.0,40000
comm_base_60,90,27,2026080427,548.0,223.99999999999997,60000
no_vax_base_ops,180,27,2026080427,7030.0,3114.0,0
no_vax_enh_ops,180,27,2026080427,488.0,223.00000000000003,0
vax_base_ops,180,27,2026080427,3007.0,1299.0,16838
vax_enh_ops,180,27,2026080427,325.0,147.0,17256
comm_base_40,180,27,2026080427,765.0,320.0,40000
comm_base_60,180,27,2026080427,617.0,253.0,60000
no_vax_base_ops,90,29,2026080429,2252.0,1016.0000000000001,0
no_vax_enh_ops,90,29,2026080429,475.0,206.99999999999997,0
vax_base_ops,90,29,2026080429,1941.0,850.0000000000001,7648
vax_enh_ops,90,29,2026080429,369.0,155.0,8418
comm_base_40,90,29,2026080429,806.0,342.0,40000
comm_base_60,90,29,2026080429,570.0,230.0,60000
no_vax_base_ops,180,29,2026080429,7123.0,3243.9999999999995,0
no_vax_enh_ops,180,29,2026080429,475.0,206.99999999999997,0
vax_base_ops,180,29,2026080429,3293.0,1452.0,16240
vax_enh_ops,180,29,2026080429,371.0,155.0,17319
comm_base_40,180,29,2026080429,916.0,394.0,40000
comm_base_60,180,29,2026080429,624.0,253.0,60000
no_vax_base_ops,90,31,2026080431,1893.0,860.0,0
