analysis,x,y,median_mortality_reduction_pct
fig3_community_ve,0.4,0.75,77.02842103871028
fig3_community_ve,0.5,0.75,82.93810741195136
fig3_community_ve,0.6,0.75,86.9087347922709
fig3_community_ve,0.7,0.75,89.76303072060439
fig3_community_ve,0.8,0.75,91.78230935163349
fig3_community_ve,0.0,0.9,0.0
fig3_community_ve,0.1,0.9,34.398488794699894
fig3_community_ve,0.2,0.9,55.39925097893227
fig3_community_ve,0.3,0.9,69.64939730034996
fig3_community_ve,0.4,0.9,78.95418696335618
fig3_community_ve,0.5,0.9,84.20444761165504
fig3_community_ve,0.6,0.9,88.28972380037393
fig3_community_ve,0.7,0.9,90.4989612436421
fig3_community_ve,0.8,0.9,92.8303137533109
fig3_risk_compensation,1.0,0.0,0.0
fig3_risk_compensation,1.25,0.0,-169.13986226733414
fig3_risk_compensation,1.5,0.0,-660.1179896844081
fig3_risk_compensation,1.75,0.0,-2307.7950242617853
fig3_risk_compensation,2.0,0.0,-3938.318293508183
fig3_risk_compensation,2.25,0.0,-3883.2449702131603
fig3_risk_compensation,2.5,0.0,-4145.668782213506
fig3_risk_compensation,1.0,0.15,39.30443087073242
fig3_risk_compensation,1.25,0.15,-41.78810515826573
fig3_risk_compensation,1.5,0.15,-204.13537245923612
fig3_risk_compensation,1.75,0.15,-750.5481354139117
fig3_risk_compensation,2.0,0.15,-1876.7313748888935
fig3_risk_compensation,2.25,0.15,-3553.4752384168423
fig3_risk_compensation,2.5,0.15,-3502.3204685099845
fig3_risk_compensation,1.0,0.3,58.085666703646275
fig3_risk_compensation,1.25,0.3,29.756859733140566
fig3_risk_compensation,1.5,0.3,-28.735652630652915
fig3_risk_compensation,1.75,0.3,-179.60090846366145
fig3_risk_compensation,2.0,0.3,-506.6612312018938
fig3_risk_compensation,2.25,0.3,-1338.0672432951917
fig3_risk_compensation,2.5,0.3,-2635.3894667118648
fig3_risk_compensation,1.0,0.45,68.5159450476132
fig3_risk_compensation,1.25,0.45,57.017873905921604
fig3_risk_compensation,1.5,0.45,30.863600259946566
fig3_risk_compensation,1.75,0.45,-14.347107067377504
fig3_risk_compensation,2.0,0.45,-107.04022397360727
fig3_risk_compensation,2.25,0.45,-253.5366931918656
fig3_risk_compensation,2.5,0.45,-639.5828244957157
fig3_risk_compensation,1.0,0.6,73.85679219718624
fig3_risk_compensation,1.25,0.6,68.65929614570484
fig3_risk_compensation,1.5,0.6,54.701481314384544
fig3_risk_compensation,1.75,0.6,38.621182813269954
fig3_risk_compensation,2.0,0.6,8.415754981121632
fig3_risk_compensation,2.25,0.6,-40.229216436287956
fig3_risk_compensation,2.5,0.6,-112.77266382900186
fig3_risk_compensation,1.0,0.75,78.5137462172805
fig3_risk_compensation,1.25,0.75,74.7515417041331
fig3_risk_compensation,1.5,0.75,66.11281246739802
fig3_risk_compensation,1.75,0.75,57.04537636426181
fig3_risk_compensation,2.0,0.75,48.35586489462975
fig3_risk_compensation,2.25,0.75,32.10235181384754
fig3_risk_compensation,2.5,0.75,11.20234362105958
fig3_risk_compensation,1.0,0.9,79.2820324005891
fig3_risk_compensation,1.25,0.9,75.4902433893859
fig3_risk_compensation,1.5,0.9,72.22437168444276
fig3_risk_compensation,1.75,0.9,68.23314186796757
fig3_risk_compensation,2.0,0.9,59.27429389075526
fig3_risk_compensation,2.25,0.9,53.721322537112016
fig3_risk_compensation,2.5,0.9,41.85185185185185
