coverage,delay,replicate,seed,base_deaths,scenario_deaths,mortality_reduction_pct
0.7000000000000001,28.0,51,2026902051,1271.0,602.0,52.63571990558615
0.7000000000000001,28.0,52,2026902052,1278.0,628.0,50.86071987480438
0.7000000000000001,28.0,53,2026902053,1299.0,496.99999999999994,61.73979984603541
0.7000000000000001,28.0,54,2026902054,661.0,316.0,52.193645990922846
0.7000000000000001,28.0,55,2026902055,1323.0,519.0,60.770975056689345
0.7000000000000001,28.0,56,2026902056,980.0,402.0,58.97959183673469
0.7000000000000001,28.0,57,2026902057,927.0,445.0,51.995685005393746
0.7000000000000001,28.0,58,2026902058,1086.0,451.0,58.47145488029466
0.7000000000000001,28.0,59,2026902059,1241.0,455.0,63.33601933924255
0.7000000000000001,28.0,60,2026902060,1023.0,437.0,57.282502443792765
0.7000000000000001,28.0,61,2026902061,1277.0,568.0,55.52075176194205
0.7000000000000001,28.0,62,2026902062,922.0000000000001,349.0,62.147505422993504
0.7000000000000001,28.0,63,2026902063,892.0000000000001,438.0,50.8968609865471
0.7000000000000001,28.0,64,2026902064,1475.0,644.0,56.33898305084746
0.7000000000000001,28.0,65,2026902065,928.0,436.0,53.01724137931034
0.7000000000000001,28.0,66,2026902066,1145.0,516.0,54.93449781659389
0.7000000000000001,28.0,67,2026902067,1106.0,498.99999999999994,54.88245931283906
0.7000000000000001,28.0,68,2026902068,1087.0,446.00000000000006,58.96964121435143
0.7000000000000001,28.0,69,2026902069,745.0,334.0,55.16778523489933
0.7000000000000001,28.0,70,2026902070,1231.0,543.0,55.88952071486596
0.7000000000000001,28.0,71,2026902071,1443.0,625.0,56.68745668745669
0.7000000000000001,28.0,72,2026902072,1249.0,557.0,55.40432345876702
0.7000000000000001,28.0,73,2026902073,1253.0,580.0,53.711093375897846
0.7000000000000001,28.0,74,2026902074,1067.0,500.0,53.139643861293344
0.7000000000000001,28.0,75,2026902075,1025.0,446.00000000000006,56.48780487804878
0.7000000000000001,28.0,76,2026902076,935.0000000000001,420.0,55.08021390374333
0.7000000000000001,28.0,77,2026902077,1207.0,489.0,59.48632974316487
0.7000000000000001,28.0,78,2026902078,1490.0,573.0,61.54362416107382
0.7000000000000001,28.0,79,2026902079,1414.0,604.0,57.28429985855728
0.7000000000000001,28.0,80,2026902080,1108.0,526.0,52.52707581227437
0.7000000000000001,28.0,81,2026902081,1075.0,461.00000000000006,57.116279069767444
0.7000000000000001,28.0,82,2026902082,915.0,434.0,52.568306010928964
0.7000000000000001,28.0,83,2026902083,1447.0,620.0,57.15272978576365
0.7000000000000001,28.0,84,2026902084,1183.0,415.0,64.91969568892645
0.7000000000000001,28.0,85,2026902085,1356.0,529.0,60.9882005899705
0.7000000000000001,28.0,86,2026902086,1180.0,474.00000000000006,59.83050847457627
0.7000000000000001,28.0,87,2026902087,1007.0000000000001,430.0,57.29890764647469
0.7000000000000001,28.0,88,2026902088,1342.0,582.0,56.63189269746647
0.7000000000000001,28.0,89,2026902089,976.9999999999999,398.99999999999994,59.16069600818834
0.7000000000000001,28.0,90,2026902090,875.0000000000001,373.0,57.37142857142858
0.7000000000000001,28.0,91,2026902091,1183.0,529.0,55.28317836010144
0.7000000000000001,28.0,92,2026902092,885.0,369.0,58.30508474576271
0.7000000000000001,28.0,93,2026902093,679.0,279.0,58.910162002945505
0.7000000000000001,28.0,94,2026902094,861.0,415.0,51.800232288037165
0.7000000000000001,28.0,95,2026902095,1352.0,518.0,61.68639053254438
0.7000000000000001,28.0,96,2026902096,1000.0,481.99999999999994,51.8
0.7000000000000001,28.0,97,2026902097,1235.0,634.0,48.663967611336034
0.7000000000000001,28.0,98,2026902098,791.0,384.0,51.45385587863464
