date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2026-06-07,R,,estimate based on partial data,1.55954183064662,1.56530349947773,0.129512570220101,1.36599699609566,1.4761745734607,1.52813062111023,1.59140230774186,1.65078051170784,1.78486917363772
2026-06-08,R,,estimate based on partial data,1.53399057732246,1.53809682034233,0.125560982429708,1.33659854746315,1.45429465824493,1.50471393114294,1.5639740821644,1.62014883347676,1.74942385508873
2026-06-09,R,,estimate based on partial data,1.5107223240987,1.51281083989326,0.123400919337282,1.31044896317353,1.43418999001296,1.48213107945994,1.53937952412072,1.59157281435235,1.71934017707126
2026-06-10,R,,estimate based on partial data,1.48927983790742,1.48943548901834,0.122584164104624,1.28704538946063,1.4118812598081,1.46099650902145,1.51828194012544,1.5680887293614,1.6884526748771
2026-06-11,R,,estimate based on partial data,1.47027389190107,1.46795247516971,0.122700092125502,1.25845010279464,1.39377325073522,1.44203255663461,1.49888048699309,1.54593017693222,1.66636174061049
2026-06-12,R,,estimate based on partial data,1.45441843109226,1.4483371752704,0.123398046258937,1.23286847186598,1.37513323635432,1.42372714500228,1.48212784297714,1.52746042671313,1.64267944108418
2026-06-13,R,,estimate based on partial data,1.43781291739997,1.43055975053305,0.124392421341497,1.21151305614917,1.35580772950321,1.40668036021466,1.46682215695882,1.5134543693161,1.62485209717419
2026-06-14,R,,estimate based on partial data,1.42433777669428,1.41458575145872,0.12545824437937,1.19445615922184,1.33886318930739,1.39083624887715,1.4515225603101,1.49991739781195,1.60569463730507
2026-06-15,R,,estimate based on partial data,1.41049082333106,1.40037641582973,0.126423664196482,1.17915525695764,1.3222949968486,1.37749654739637,1.43906424334387,1.48799190336402,1.59209236402415
2026-06-16,R,,estimate based on partial data,1.39884434010111,1.38788876037285,0.127162417632988,1.16552923175552,1.30683584204797,1.36587395073549,1.42981149994971,1.47649022118853,1.57665824690821
2026-06-17,R,,estimate based on partial data,1.38857583297366,1.37707551298128,0.12758690498684,1.1539346250242,1.29427504433838,1.35502616948981,1.42011577324099,1.4673670986408,1.56837136428692
2026-06-18,R,,estimate based on partial data,1.37934434817845,1.36788495498218,0.127641701838323,1.14377081587015,1.28406034330589,1.34513028199203,1.4118391213728,1.46011315375453,1.55905640534846
2026-06-19,R,,estimate based on partial data,1.37177688320637,1.3602608026427,0.127297540406067,1.13837943554077,1.27580096038672,1.33627563383665,1.40369619868066,1.45239822871306,1.55044294637164
