after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
13,supp_s3_delivery,63,0.4,14,,0,90,2,350,2026131350,community40_base
62,supp_s3_delivery,3,,9,1,,74,2,350,2026131350,ring2_enhanced
17,supp_s3_delivery,97,0.4,18,,0,132,2,348,2026131348,community40_base
96,supp_s3_delivery,22,,25,1,,143,2,348,2026131348,ring2_enhanced
22,supp_s3_delivery,151,0.4,18,,0,191,2,352,2026131352,community40_base
48,supp_s3_delivery,22,,25,1,,95,2,352,2026131352,ring2_enhanced
19,supp_s3_delivery,98,0.4,15,,0,132,2,353,2026131353,community40_base
35,supp_s3_delivery,9,,22,1,,66,2,353,2026131353,ring2_enhanced
19,supp_s3_delivery,56,0.4,13,,0,88,2,351,2026131351,community40_base
75,supp_s3_delivery,12,,12,1,,99,2,351,2026131351,ring2_enhanced
24,supp_s3_delivery,97,0.4,26,,0,147,2,354,2026131354,community40_base
32,supp_s3_delivery,14,,14,1,,60,2,354,2026131354,ring2_enhanced
18,supp_s3_delivery,91,0.4,15,,0,124,2,355,2026131355,community40_base
43,supp_s3_delivery,7,,12,1,,62,2,355,2026131355,ring2_enhanced
10,supp_s3_delivery,81,0.4,17,,0,108,2,358,2026131358,community40_base
63,supp_s3_delivery,11,,6,1,,80,2,358,2026131358,ring2_enhanced
25,supp_s3_delivery,111,0.4,23,,0,159,2,356,2026131356,community40_base
73,supp_s3_delivery,7,,14,1,,94,2,356,2026131356,ring2_enhanced
23,supp_s3_delivery,106,0.4,23,,0,152,2,357,2026131357,community40_base
65,supp_s3_delivery,3,,15,1,,83,2,357,2026131357,ring2_enhanced
18,supp_s3_delivery,59,0.4,17,,0,94,2,359,2026131359,community40_base
58,supp_s3_delivery,8,,15,1,,81,2,359,2026131359,ring2_enhanced
21,supp_s3_delivery,102,0.4,13,,0,136,2,362,2026131362,community40_base
64,supp_s3_delivery,7,,13,1,,84,2,362,2026131362,ring2_enhanced
23,supp_s3_delivery,130,0.4,13,,0,166,2,360,2026131360,community40_base
45,supp_s3_delivery,6,,7,1,,58,2,360,2026131360,ring2_enhanced
21,supp_s3_delivery,77,0.4,16,,0,114,2,361,2026131361,community40_base
83,supp_s3_delivery,14,,22,1,,119,2,361,2026131361,ring2_enhanced
27,supp_s3_delivery,144,0.4,31,,0,202,2,363,2026131363,community40_base
66,supp_s3_delivery,19,,20,1,,105,2,363,2026131363,ring2_enhanced
23,supp_s3_delivery,117,0.4,19,,0,159,2,364,2026131364,community40_base
75,supp_s3_delivery,14,,16,1,,105,2,364,2026131364,ring2_enhanced
23,supp_s3_delivery,110,0.4,14,,0,147,2,365,2026131365,community40_base
71,supp_s3_delivery,21,,15,1,,107,2,365,2026131365,ring2_enhanced
16,supp_s3_delivery,62,0.4,14,,0,92,2,368,2026131368,community40_base
19,supp_s3_delivery,1,,3,1,,23,2,368,2026131368,ring2_enhanced
14,supp_s3_delivery,85,0.4,15,,0,114,2,366,2026131366,community40_base
82,supp_s3_delivery,9,,11,1,,102,2,366,2026131366,ring2_enhanced
26,supp_s3_delivery,144,0.4,28,,0,198,2,367,2026131367,community40_base
72,supp_s3_delivery,5,,14,1,,91,2,367,2026131367,ring2_enhanced
21,supp_s3_delivery,109,0.4,21,,0,151,2,369,2026131369,community40_base
33,supp_s3_delivery,17,,27,1,,77,2,369,2026131369,ring2_enhanced
18,supp_s3_delivery,103,0.4,22,,0,143,2,370,2026131370,community40_base
73,supp_s3_delivery,18,,23,1,,114,2,370,2026131370,ring2_enhanced
19,supp_s3_delivery,116,0.4,20,,0,155,2,371,2026131371,community40_base
66,supp_s3_delivery,16,,23,1,,105,2,371,2026131371,ring2_enhanced
19,supp_s3_delivery,75,0.4,16,,0,110,2,373,2026131373,community40_base
41,supp_s3_delivery,28,,26,1,,95,2,373,2026131373,ring2_enhanced
12,supp_s3_delivery,159,0.4,22,,0,193,2,372,2026131372,community40_base
59,supp_s3_delivery,12,,21,1,,92,2,372,2026131372,ring2_enhanced
15,supp_s3_delivery,176,0.4,18,,0,209,2,374,2026131374,community40_base
58,supp_s3_delivery,12,,20,1,,90,2,374,2026131374,ring2_enhanced
15,supp_s3_delivery,129,0.4,12,,0,156,2,377,2026131377,community40_base
77,supp_s3_delivery,10,,18,1,,105,2,377,2026131377,ring2_enhanced
24,supp_s3_delivery,108,0.4,25,,0,157,2,378,2026131378,community40_base
24,supp_s3_delivery,12,,15,1,,51,2,378,2026131378,ring2_enhanced
21,supp_s3_delivery,137,0.4,14,,0,172,2,375,2026131375,community40_base
76,supp_s3_delivery,19,,19,1,,114,2,375,2026131375,ring2_enhanced
16,supp_s3_delivery,150,0.4,25,,0,191,2,376,2026131376,community40_base
75,supp_s3_delivery,20,,32,1,,127,2,376,2026131376,ring2_enhanced
18,supp_s3_delivery,105,0.4,24,,0,147,2,379,2026131379,community40_base
31,supp_s3_delivery,4,,11,1,,46,2,379,2026131379,ring2_enhanced
18,supp_s3_delivery,113,0.4,21,,0,152,2,381,2026131381,community40_base
58,supp_s3_delivery,5,,9,1,,72,2,381,2026131381,ring2_enhanced
20,supp_s3_delivery,78,0.4,16,,0,114,2,380,2026131380,community40_base
47,supp_s3_delivery,8,,14,1,,69,2,380,2026131380,ring2_enhanced
20,supp_s3_delivery,74,0.4,16,,0,110,2,382,2026131382,community40_base
53,supp_s3_delivery,17,,26,1,,96,2,382,2026131382,ring2_enhanced
20,supp_s3_delivery,125,0.4,28,,0,173,2,384,2026131384,community40_base
60,supp_s3_delivery,9,,15,1,,84,2,384,2026131384,ring2_enhanced
14,supp_s3_delivery,96,0.4,19,,0,129,2,385,2026131385,community40_base
60,supp_s3_delivery,20,,21,1,,101,2,385,2026131385,ring2_enhanced
19,supp_s3_delivery,145,0.4,26,,0,190,2,383,2026131383,community40_base
85,supp_s3_delivery,24,,17,1,,126,2,383,2026131383,ring2_enhanced
18,supp_s3_delivery,108,0.4,18,,0,144,2,387,2026131387,community40_base
65,supp_s3_delivery,13,,28,1,,106,2,387,2026131387,ring2_enhanced
19,supp_s3_delivery,138,0.4,25,,0,182,2,386,2026131386,community40_base
63,supp_s3_delivery,13,,22,1,,98,2,386,2026131386,ring2_enhanced
16,supp_s3_delivery,103,0.4,12,,0,131,2,388,2026131388,community40_base
49,supp_s3_delivery,9,,21,1,,79,2,388,2026131388,ring2_enhanced
13,supp_s3_delivery,88,0.4,20,,0,121,2,389,2026131389,community40_base
60,supp_s3_delivery,3,,6,1,,69,2,389,2026131389,ring2_enhanced
24,supp_s3_delivery,138,0.4,16,,0,178,2,390,2026131390,community40_base
63,supp_s3_delivery,8,,21,1,,92,2,390,2026131390,ring2_enhanced
13,supp_s3_delivery,125,0.4,27,,0,165,2,391,2026131391,community40_base
40,supp_s3_delivery,8,,7,1,,55,2,391,2026131391,ring2_enhanced
13,supp_s3_delivery,97,0.4,13,,0,123,2,392,2026131392,community40_base
70,supp_s3_delivery,13,,5,1,,88,2,392,2026131392,ring2_enhanced
22,supp_s3_delivery,120,0.4,31,,0,173,2,393,2026131393,community40_base
83,supp_s3_delivery,13,,21,1,,117,2,393,2026131393,ring2_enhanced
18,supp_s3_delivery,84,0.4,17,,0,119,2,394,2026131394,community40_base
50,supp_s3_delivery,7,,7,1,,64,2,394,2026131394,ring2_enhanced
21,supp_s3_delivery,53,0.4,19,,0,93,2,396,2026131396,community40_base
70,supp_s3_delivery,22,,17,1,,109,2,396,2026131396,ring2_enhanced
22,supp_s3_delivery,125,0.4,14,,0,161,2,395,2026131395,community40_base
54,supp_s3_delivery,30,,43,1,,127,2,395,2026131395,ring2_enhanced
22,supp_s3_delivery,105,0.4,21,,0,148,2,397,2026131397,community40_base
47,supp_s3_delivery,7,,7,1,,61,2,397,2026131397,ring2_enhanced
13,supp_s3_delivery,80,0.4,14,,0,107,2,399,2026131399,community40_base
72,supp_s3_delivery,14,,23,1,,109,2,399,2026131399,ring2_enhanced
21,supp_s3_delivery,110,0.4,19,,0,150,2,398,2026131398,community40_base
62,supp_s3_delivery,10,,13,1,,85,2,398,2026131398,ring2_enhanced
33,supp_s3_delivery,92,0.4,23,,0,148,2,400,2026131400,community40_base
57,supp_s3_delivery,7,,21,1,,85,2,400,2026131400,ring2_enhanced
14,supp_s3_delivery,74,0.4,16,,0,104,2,401,2026131401,community40_base
46,supp_s3_delivery,12,,16,1,,74,2,401,2026131401,ring2_enhanced
22,supp_s3_delivery,129,0.4,26,,0,177,2,403,2026131403,community40_base
86,supp_s3_delivery,17,,27,1,,130,2,403,2026131403,ring2_enhanced
17,supp_s3_delivery,96,0.4,13,,0,126,2,405,2026131405,community40_base
23,supp_s3_delivery,9,,12,1,,44,2,405,2026131405,ring2_enhanced
20,supp_s3_delivery,127,0.4,24,,0,171,2,402,2026131402,community40_base
82,supp_s3_delivery,30,,17,1,,129,2,402,2026131402,ring2_enhanced
27,supp_s3_delivery,123,0.4,22,,0,172,2,404,2026131404,community40_base
83,supp_s3_delivery,8,,10,1,,101,2,404,2026131404,ring2_enhanced
11,supp_s3_delivery,67,0.4,23,,0,101,2,406,2026131406,community40_base
46,supp_s3_delivery,9,,18,1,,73,2,406,2026131406,ring2_enhanced
27,supp_s3_delivery,114,0.4,10,,0,151,2,409,2026131409,community40_base
62,supp_s3_delivery,17,,17,1,,96,2,409,2026131409,ring2_enhanced
12,supp_s3_delivery,114,0.4,17,,0,143,2,408,2026131408,community40_base
58,supp_s3_delivery,12,,9,1,,79,2,408,2026131408,ring2_enhanced
17,supp_s3_delivery,111,0.4,25,,0,153,2,407,2026131407,community40_base
80,supp_s3_delivery,13,,13,1,,106,2,407,2026131407,ring2_enhanced
11,supp_s3_delivery,105,0.4,17,,0,133,2,410,2026131410,community40_base
55,supp_s3_delivery,17,,21,1,,93,2,410,2026131410,ring2_enhanced
24,supp_s3_delivery,103,0.4,19,,0,146,2,413,2026131413,community40_base
100,supp_s3_delivery,14,,16,1,,130,2,413,2026131413,ring2_enhanced
10,supp_s3_delivery,98,0.4,26,,0,134,2,411,2026131411,community40_base
103,supp_s3_delivery,12,,19,1,,134,2,411,2026131411,ring2_enhanced
20,supp_s3_delivery,85,0.4,19,,0,124,2,414,2026131414,community40_base
56,supp_s3_delivery,13,,14,1,,83,2,414,2026131414,ring2_enhanced
27,supp_s3_delivery,116,0.4,17,,0,160,2,412,2026131412,community40_base
74,supp_s3_delivery,13,,22,1,,109,2,412,2026131412,ring2_enhanced
19,supp_s3_delivery,109,0.4,21,,0,149,2,415,2026131415,community40_base
67,supp_s3_delivery,6,,14,1,,87,2,415,2026131415,ring2_enhanced
20,supp_s3_delivery,101,0.4,18,,0,139,2,418,2026131418,community40_base
67,supp_s3_delivery,9,,9,1,,85,2,418,2026131418,ring2_enhanced
25,supp_s3_delivery,158,0.4,14,,0,197,2,416,2026131416,community40_base
89,supp_s3_delivery,10,,19,1,,118,2,416,2026131416,ring2_enhanced
15,supp_s3_delivery,64,0.4,11,,0,90,2,419,2026131419,community40_base
45,supp_s3_delivery,15,,18,1,,78,2,419,2026131419,ring2_enhanced
21,supp_s3_delivery,93,0.4,13,,0,127,2,417,2026131417,community40_base
51,supp_s3_delivery,11,,7,1,,69,2,417,2026131417,ring2_enhanced
16,supp_s3_delivery,107,0.4,19,,0,142,2,422,2026131422,community40_base
74,supp_s3_delivery,8,,16,1,,98,2,422,2026131422,ring2_enhanced
16,supp_s3_delivery,74,0.4,17,,0,107,2,420,2026131420,community40_base
58,supp_s3_delivery,3,,6,1,,67,2,420,2026131420,ring2_enhanced
15,supp_s3_delivery,99,0.4,11,,0,125,2,424,2026131424,community40_base
40,supp_s3_delivery,2,,7,1,,49,2,424,2026131424,ring2_enhanced
18,supp_s3_delivery,120,0.4,20,,0,158,2,421,2026131421,community40_base
29,supp_s3_delivery,5,,16,1,,50,2,421,2026131421,ring2_enhanced
15,supp_s3_delivery,87,0.4,14,,0,116,2,425,2026131425,community40_base
42,supp_s3_delivery,11,,12,1,,65,2,425,2026131425,ring2_enhanced
19,supp_s3_delivery,118,0.4,20,,0,157,2,423,2026131423,community40_base
96,supp_s3_delivery,13,,14,1,,123,2,423,2026131423,ring2_enhanced
30,supp_s3_delivery,122,0.4,27,,0,179,2,426,2026131426,community40_base
78,supp_s3_delivery,12,,17,1,,107,2,426,2026131426,ring2_enhanced
12,supp_s3_delivery,69,0.4,16,,0,97,2,427,2026131427,community40_base
75,supp_s3_delivery,18,,16,1,,109,2,427,2026131427,ring2_enhanced
12,supp_s3_delivery,93,0.4,16,,0,121,2,432,2026131432,community40_base
57,supp_s3_delivery,16,,26,1,,99,2,432,2026131432,ring2_enhanced
25,supp_s3_delivery,114,0.4,22,,0,161,2,429,2026131429,community40_base
65,supp_s3_delivery,9,,14,1,,88,2,429,2026131429,ring2_enhanced
23,supp_s3_delivery,86,0.4,18,,0,127,2,428,2026131428,community40_base
85,supp_s3_delivery,10,,16,1,,111,2,428,2026131428,ring2_enhanced
16,supp_s3_delivery,85,0.4,18,,0,119,2,430,2026131430,community40_base
45,supp_s3_delivery,3,,26,1,,74,2,430,2026131430,ring2_enhanced
16,supp_s3_delivery,77,0.4,21,,0,114,2,433,2026131433,community40_base
37,supp_s3_delivery,8,,6,1,,51,2,433,2026131433,ring2_enhanced
18,supp_s3_delivery,78,0.4,21,,0,117,2,431,2026131431,community40_base
98,supp_s3_delivery,12,,11,1,,121,2,431,2026131431,ring2_enhanced
15,supp_s3_delivery,74,0.4,23,,0,112,2,434,2026131434,community40_base
60,supp_s3_delivery,13,,18,1,,91,2,434,2026131434,ring2_enhanced
17,supp_s3_delivery,72,0.4,19,,0,108,2,436,2026131436,community40_base
40,supp_s3_delivery,6,,11,1,,57,2,436,2026131436,ring2_enhanced
19,supp_s3_delivery,94,0.4,13,,0,126,2,435,2026131435,community40_base
62,supp_s3_delivery,4,,5,1,,71,2,435,2026131435,ring2_enhanced
25,supp_s3_delivery,117,0.4,14,,0,156,2,438,2026131438,community40_base
74,supp_s3_delivery,10,,19,1,,103,2,438,2026131438,ring2_enhanced
24,supp_s3_delivery,95,0.4,15,,0,134,2,440,2026131440,community40_base
74,supp_s3_delivery,7,,8,1,,89,2,440,2026131440,ring2_enhanced
22,supp_s3_delivery,93,0.4,22,,0,137,2,437,2026131437,community40_base
83,supp_s3_delivery,10,,21,1,,114,2,437,2026131437,ring2_enhanced
29,supp_s3_delivery,174,0.4,24,,0,227,2,439,2026131439,community40_base
91,supp_s3_delivery,13,,12,1,,116,2,439,2026131439,ring2_enhanced
19,supp_s3_delivery,122,0.4,20,,0,161,2,442,2026131442,community40_base
43,supp_s3_delivery,5,,17,1,,65,2,442,2026131442,ring2_enhanced
16,supp_s3_delivery,90,0.4,23,,0,129,2,443,2026131443,community40_base
60,supp_s3_delivery,15,,18,1,,93,2,443,2026131443,ring2_enhanced
14,supp_s3_delivery,75,0.4,11,,0,100,2,441,2026131441,community40_base
87,supp_s3_delivery,11,,13,1,,111,2,441,2026131441,ring2_enhanced
22,supp_s3_delivery,148,0.4,25,,0,195,2,444,2026131444,community40_base
52,supp_s3_delivery,6,,24,1,,82,2,444,2026131444,ring2_enhanced
15,supp_s3_delivery,104,0.4,19,,0,138,2,446,2026131446,community40_base
75,supp_s3_delivery,13,,17,1,,105,2,446,2026131446,ring2_enhanced
20,supp_s3_delivery,132,0.4,26,,0,178,2,448,2026131448,community40_base
100,supp_s3_delivery,16,,12,1,,128,2,448,2026131448,ring2_enhanced
27,supp_s3_delivery,146,0.4,23,,0,196,2,445,2026131445,community40_base
63,supp_s3_delivery,8,,7,1,,78,2,445,2026131445,ring2_enhanced
22,supp_s3_delivery,96,0.4,28,,0,146,2,447,2026131447,community40_base
67,supp_s3_delivery,14,,19,1,,100,2,447,2026131447,ring2_enhanced
22,supp_s3_delivery,147,0.4,26,,0,195,2,450,2026131450,community40_base
54,supp_s3_delivery,14,,43,1,,111,2,450,2026131450,ring2_enhanced
18,supp_s3_delivery,103,0.4,18,,0,139,2,449,2026131449,community40_base
59,supp_s3_delivery,20,,27,1,,106,2,449,2026131449,ring2_enhanced
14,supp_s3_delivery,99,0.4,18,,0,131,2,451,2026131451,community40_base
41,supp_s3_delivery,12,,17,1,,70,2,451,2026131451,ring2_enhanced
15,supp_s3_delivery,72,0.4,20,,0,107,2,453,2026131453,community40_base
47,supp_s3_delivery,9,,20,1,,76,2,453,2026131453,ring2_enhanced
18,supp_s3_delivery,86,0.4,19,,0,123,2,452,2026131452,community40_base
55,supp_s3_delivery,11,,20,1,,86,2,452,2026131452,ring2_enhanced
23,supp_s3_delivery,129,0.4,19,,0,171,2,454,2026131454,community40_base
62,supp_s3_delivery,10,,28,1,,100,2,454,2026131454,ring2_enhanced
19,supp_s3_delivery,133,0.4,20,,0,172,2,455,2026131455,community40_base
63,supp_s3_delivery,7,,9,1,,79,2,455,2026131455,ring2_enhanced
18,supp_s3_delivery,112,0.4,17,,0,147,2,458,2026131458,community40_base
48,supp_s3_delivery,9,,18,1,,75,2,458,2026131458,ring2_enhanced
18,supp_s3_delivery,122,0.4,16,,0,156,2,456,2026131456,community40_base
58,supp_s3_delivery,19,,23,1,,100,2,456,2026131456,ring2_enhanced
27,supp_s3_delivery,102,0.4,26,,0,155,2,459,2026131459,community40_base
77,supp_s3_delivery,21,,23,1,,121,2,459,2026131459,ring2_enhanced
28,supp_s3_delivery,161,0.4,26,,0,215,2,460,2026131460,community40_base
62,supp_s3_delivery,15,,18,1,,95,2,460,2026131460,ring2_enhanced
20,supp_s3_delivery,136,0.4,19,,0,175,2,457,2026131457,community40_base
79,supp_s3_delivery,18,,24,1,,121,2,457,2026131457,ring2_enhanced
13,supp_s3_delivery,83,0.4,14,,0,110,2,461,2026131461,community40_base
77,supp_s3_delivery,12,,17,1,,106,2,461,2026131461,ring2_enhanced
21,supp_s3_delivery,129,0.4,16,,0,166,2,462,2026131462,community40_base
72,supp_s3_delivery,10,,17,1,,99,2,462,2026131462,ring2_enhanced
15,supp_s3_delivery,50,0.4,21,,0,86,2,463,2026131463,community40_base
79,supp_s3_delivery,5,,7,1,,91,2,463,2026131463,ring2_enhanced
26,supp_s3_delivery,152,0.4,20,,0,198,2,464,2026131464,community40_base
83,supp_s3_delivery,19,,33,1,,135,2,464,2026131464,ring2_enhanced
32,supp_s3_delivery,143,0.4,22,,0,197,2,465,2026131465,community40_base
153,supp_s3_delivery,11,,23,1,,187,2,465,2026131465,ring2_enhanced
23,supp_s3_delivery,114,0.4,23,,0,160,2,466,2026131466,community40_base
79,supp_s3_delivery,6,,14,1,,99,2,466,2026131466,ring2_enhanced
15,supp_s3_delivery,64,0.4,21,,0,100,2,469,2026131469,community40_base
126,supp_s3_delivery,6,,14,1,,146,2,469,2026131469,ring2_enhanced
12,supp_s3_delivery,81,0.4,21,,0,114,2,468,2026131468,community40_base
61,supp_s3_delivery,4,,11,1,,76,2,468,2026131468,ring2_enhanced
19,supp_s3_delivery,116,0.4,20,,0,155,2,470,2026131470,community40_base
64,supp_s3_delivery,10,,21,1,,95,2,470,2026131470,ring2_enhanced
20,supp_s3_delivery,101,0.4,16,,0,137,2,467,2026131467,community40_base
101,supp_s3_delivery,17,,32,1,,150,2,467,2026131467,ring2_enhanced
20,supp_s3_delivery,62,0.4,16,,0,98,2,472,2026131472,community40_base
33,supp_s3_delivery,15,,21,1,,69,2,472,2026131472,ring2_enhanced
22,supp_s3_delivery,112,0.4,17,,0,151,2,471,2026131471,community40_base
88,supp_s3_delivery,13,,16,1,,117,2,471,2026131471,ring2_enhanced
11,supp_s3_delivery,81,0.4,25,,0,117,2,477,2026131477,community40_base
43,supp_s3_delivery,7,,6,1,,56,2,477,2026131477,ring2_enhanced
24,supp_s3_delivery,56,0.4,15,,0,95,2,474,2026131474,community40_base
85,supp_s3_delivery,11,,13,1,,109,2,474,2026131474,ring2_enhanced
13,supp_s3_delivery,57,0.4,23,,0,93,2,473,2026131473,community40_base
53,supp_s3_delivery,7,,10,1,,70,2,473,2026131473,ring2_enhanced
17,supp_s3_delivery,82,0.4,19,,0,118,2,475,2026131475,community40_base
33,supp_s3_delivery,7,,11,1,,51,2,475,2026131475,ring2_enhanced
21,supp_s3_delivery,78,0.4,27,,0,126,2,478,2026131478,community40_base
59,supp_s3_delivery,6,,12,1,,77,2,478,2026131478,ring2_enhanced
23,supp_s3_delivery,160,0.4,31,,0,214,2,476,2026131476,community40_base
94,supp_s3_delivery,36,,33,1,,163,2,476,2026131476,ring2_enhanced
18,supp_s3_delivery,111,0.4,14,,0,143,2,479,2026131479,community40_base
39,supp_s3_delivery,10,,16,1,,65,2,479,2026131479,ring2_enhanced
21,supp_s3_delivery,101,0.4,16,,0,138,2,480,2026131480,community40_base
76,supp_s3_delivery,15,,17,1,,108,2,480,2026131480,ring2_enhanced
18,supp_s3_delivery,73,0.4,20,,0,111,2,483,2026131483,community40_base
52,supp_s3_delivery,9,,8,1,,69,2,483,2026131483,ring2_enhanced
19,supp_s3_delivery,58,0.4,10,,0,87,2,481,2026131481,community40_base
66,supp_s3_delivery,12,,15,1,,93,2,481,2026131481,ring2_enhanced
22,supp_s3_delivery,130,0.4,23,,0,175,2,482,2026131482,community40_base
62,supp_s3_delivery,10,,11,1,,83,2,482,2026131482,ring2_enhanced
22,supp_s3_delivery,102,0.4,23,,0,147,2,484,2026131484,community40_base
102,supp_s3_delivery,10,,19,1,,131,2,484,2026131484,ring2_enhanced
22,supp_s3_delivery,115,0.4,22,,0,159,2,485,2026131485,community40_base
71,supp_s3_delivery,17,,20,1,,108,2,485,2026131485,ring2_enhanced
15,supp_s3_delivery,59,0.4,12,,0,86,2,489,2026131489,community40_base
73,supp_s3_delivery,4,,14,1,,91,2,489,2026131489,ring2_enhanced
32,supp_s3_delivery,121,0.4,19,,0,172,2,488,2026131488,community40_base
70,supp_s3_delivery,8,,11,1,,89,2,488,2026131488,ring2_enhanced
27,supp_s3_delivery,79,0.4,16,,0,122,2,487,2026131487,community40_base
37,supp_s3_delivery,6,,29,1,,72,2,487,2026131487,ring2_enhanced
14,supp_s3_delivery,174,0.4,19,,0,207,2,486,2026131486,community40_base
67,supp_s3_delivery,14,,22,1,,103,2,486,2026131486,ring2_enhanced
23,supp_s3_delivery,115,0.4,14,,0,152,2,490,2026131490,community40_base
56,supp_s3_delivery,7,,10,1,,73,2,490,2026131490,ring2_enhanced
17,supp_s3_delivery,103,0.4,18,,0,138,2,491,2026131491,community40_base
60,supp_s3_delivery,5,,11,1,,76,2,491,2026131491,ring2_enhanced
23,supp_s3_delivery,102,0.4,17,,0,142,2,492,2026131492,community40_base
75,supp_s3_delivery,12,,24,1,,111,2,492,2026131492,ring2_enhanced
18,supp_s3_delivery,115,0.4,20,,0,153,2,496,2026131496,community40_base
36,supp_s3_delivery,11,,23,1,,70,2,496,2026131496,ring2_enhanced
13,supp_s3_delivery,70,0.4,17,,0,100,2,497,2026131497,community40_base
70,supp_s3_delivery,6,,13,1,,89,2,497,2026131497,ring2_enhanced
24,supp_s3_delivery,132,0.4,28,,0,184,2,493,2026131493,community40_base
57,supp_s3_delivery,6,,12,1,,75,2,493,2026131493,ring2_enhanced
16,supp_s3_delivery,110,0.4,20,,0,146,2,495,2026131495,community40_base
76,supp_s3_delivery,16,,14,1,,106,2,495,2026131495,ring2_enhanced
14,supp_s3_delivery,73,0.4,21,,0,108,2,494,2026131494,community40_base
56,supp_s3_delivery,9,,16,1,,81,2,494,2026131494,ring2_enhanced
12,supp_s3_delivery,94,0.4,17,,0,123,2,499,2026131499,community40_base
68,supp_s3_delivery,5,,8,1,,81,2,499,2026131499,ring2_enhanced
18,supp_s3_delivery,78,0.4,15,,0,111,2,498,2026131498,community40_base
65,supp_s3_delivery,13,,19,1,,97,2,498,2026131498,ring2_enhanced
