after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
12,supp_s3_delivery,81,0.4,18,,0,111,2,78,2026131078,community40_base
42,supp_s3_delivery,13,,25,1,,80,2,78,2026131078,ring2_enhanced
16,supp_s3_delivery,98,0.4,22,,0,136,2,82,2026131082,community40_base
38,supp_s3_delivery,15,,12,1,,65,2,82,2026131082,ring2_enhanced
26,supp_s3_delivery,78,0.4,22,,0,126,2,81,2026131081,community40_base
75,supp_s3_delivery,11,,34,1,,120,2,81,2026131081,ring2_enhanced
15,supp_s3_delivery,131,0.4,23,,0,169,2,80,2026131080,community40_base
94,supp_s3_delivery,10,,25,1,,129,2,80,2026131080,ring2_enhanced
16,supp_s3_delivery,87,0.4,26,,0,129,2,84,2026131084,community40_base
58,supp_s3_delivery,21,,14,1,,93,2,84,2026131084,ring2_enhanced
25,supp_s3_delivery,173,0.4,26,,0,224,2,83,2026131083,community40_base
65,supp_s3_delivery,8,,11,1,,84,2,83,2026131083,ring2_enhanced
19,supp_s3_delivery,62,0.4,13,,0,94,2,85,2026131085,community40_base
46,supp_s3_delivery,14,,16,1,,76,2,85,2026131085,ring2_enhanced
17,supp_s3_delivery,99,0.4,17,,0,133,2,86,2026131086,community40_base
55,supp_s3_delivery,13,,15,1,,83,2,86,2026131086,ring2_enhanced
22,supp_s3_delivery,99,0.4,17,,0,138,2,87,2026131087,community40_base
80,supp_s3_delivery,19,,27,1,,126,2,87,2026131087,ring2_enhanced
15,supp_s3_delivery,93,0.4,15,,0,123,2,88,2026131088,community40_base
74,supp_s3_delivery,17,,25,1,,116,2,88,2026131088,ring2_enhanced
20,supp_s3_delivery,115,0.4,16,,0,151,2,90,2026131090,community40_base
120,supp_s3_delivery,7,,19,1,,146,2,90,2026131090,ring2_enhanced
17,supp_s3_delivery,76,0.4,9,,0,102,2,91,2026131091,community40_base
46,supp_s3_delivery,14,,13,1,,73,2,91,2026131091,ring2_enhanced
23,supp_s3_delivery,117,0.4,13,,0,153,2,89,2026131089,community40_base
68,supp_s3_delivery,7,,12,1,,87,2,89,2026131089,ring2_enhanced
20,supp_s3_delivery,112,0.4,25,,0,157,2,92,2026131092,community40_base
59,supp_s3_delivery,12,,13,1,,84,2,92,2026131092,ring2_enhanced
18,supp_s3_delivery,94,0.4,16,,0,128,2,93,2026131093,community40_base
48,supp_s3_delivery,8,,15,1,,71,2,93,2026131093,ring2_enhanced
25,supp_s3_delivery,88,0.4,23,,0,136,2,95,2026131095,community40_base
75,supp_s3_delivery,5,,14,1,,94,2,95,2026131095,ring2_enhanced
20,supp_s3_delivery,96,0.4,18,,0,134,2,94,2026131094,community40_base
94,supp_s3_delivery,13,,31,1,,138,2,94,2026131094,ring2_enhanced
26,supp_s3_delivery,141,0.4,26,,0,193,2,96,2026131096,community40_base
108,supp_s3_delivery,15,,25,1,,148,2,96,2026131096,ring2_enhanced
19,supp_s3_delivery,109,0.4,25,,0,153,2,99,2026131099,community40_base
57,supp_s3_delivery,9,,8,1,,74,2,99,2026131099,ring2_enhanced
25,supp_s3_delivery,89,0.4,10,,0,124,2,98,2026131098,community40_base
98,supp_s3_delivery,9,,8,1,,115,2,98,2026131098,ring2_enhanced
17,supp_s3_delivery,79,0.4,14,,0,110,2,97,2026131097,community40_base
56,supp_s3_delivery,9,,14,1,,79,2,97,2026131097,ring2_enhanced
19,supp_s3_delivery,150,0.4,22,,0,191,2,101,2026131101,community40_base
43,supp_s3_delivery,18,,17,1,,78,2,101,2026131101,ring2_enhanced
17,supp_s3_delivery,106,0.4,24,,0,147,2,100,2026131100,community40_base
76,supp_s3_delivery,10,,27,1,,113,2,100,2026131100,ring2_enhanced
13,supp_s3_delivery,57,0.4,16,,0,86,2,102,2026131102,community40_base
58,supp_s3_delivery,11,,12,1,,81,2,102,2026131102,ring2_enhanced
11,supp_s3_delivery,87,0.4,24,,0,122,2,103,2026131103,community40_base
60,supp_s3_delivery,21,,20,1,,101,2,103,2026131103,ring2_enhanced
25,supp_s3_delivery,117,0.4,25,,0,167,2,104,2026131104,community40_base
57,supp_s3_delivery,15,,15,1,,87,2,104,2026131104,ring2_enhanced
