strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
comm_base_60,43,2026073043,0,nan,206,491,60000
no_vax_base_ops,44,2026073044,0,nan,1024,2234,0
no_vax_enh_ops,44,2026073044,0,nan,144,334,0
comm_base_40,44,2026073044,0,nan,255,609,40000
comm_base_60,44,2026073044,0,nan,163,438,60000
no_vax_base_ops,45,2026073045,0,nan,485,1127,0
no_vax_enh_ops,45,2026073045,0,nan,101,249,0
comm_base_40,45,2026073045,0,nan,243,609,40000
comm_base_60,45,2026073045,0,nan,152,380,60000
no_vax_base_ops,46,2026073046,0,nan,856,1929,0
no_vax_enh_ops,46,2026073046,1,72.55942359451598,139,321,0
comm_base_40,46,2026073046,0,nan,316,748,40000
comm_base_60,46,2026073046,0,nan,171,413,60000
no_vax_base_ops,49,2026073049,0,nan,967,2116,0
no_vax_enh_ops,49,2026073049,0,nan,165,369,0
comm_base_40,49,2026073049,0,nan,228,519,40000
comm_base_60,49,2026073049,0,nan,145,349,60000
no_vax_base_ops,47,2026073047,0,nan,994,2140,0
no_vax_enh_ops,47,2026073047,0,nan,135,295,0
comm_base_40,47,2026073047,0,nan,205,490,40000
comm_base_60,47,2026073047,0,nan,155,389,60000
no_vax_base_ops,48,2026073048,0,nan,1044,2282,0
no_vax_enh_ops,48,2026073048,0,nan,107,252,0
comm_base_40,48,2026073048,0,nan,266,684,40000
comm_base_60,48,2026073048,0,nan,151,413,60000
no_vax_base_ops,50,2026073050,0,nan,768,1721,0
no_vax_enh_ops,50,2026073050,0,nan,158,363,0
comm_base_40,50,2026073050,0,nan,203,514,40000
comm_base_60,50,2026073050,0,nan,123,336,60000
no_vax_base_ops,51,2026073051,0,nan,919,2013,0
no_vax_enh_ops,51,2026073051,1,72.19134068184391,91,194,0
comm_base_40,51,2026073051,0,nan,206,471,40000
comm_base_60,51,2026073051,0,nan,125,297,60000
no_vax_base_ops,52,2026073052,0,nan,1143,2533,0
no_vax_enh_ops,52,2026073052,0,nan,147,319,0
comm_base_40,52,2026073052,0,nan,324,753,40000
comm_base_60,52,2026073052,0,nan,224,570,60000
no_vax_base_ops,53,2026073053,0,nan,855,1902,0
no_vax_enh_ops,53,2026073053,0,nan,165,349,0
comm_base_40,53,2026073053,0,nan,257,617,40000
comm_base_60,53,2026073053,0,nan,163,409,60000
no_vax_base_ops,54,2026073054,0,nan,1013,2244,0
no_vax_enh_ops,54,2026073054,0,nan,128,268,0
comm_base_40,54,2026073054,0,nan,259,604,40000
comm_base_60,54,2026073054,0,nan,193,438,60000
no_vax_base_ops,56,2026073056,0,nan,678,1469,0
no_vax_enh_ops,56,2026073056,0,nan,99,227,0
comm_base_40,56,2026073056,0,nan,258,621,40000
comm_base_60,56,2026073056,0,nan,115,312,60000
no_vax_base_ops,55,2026073055,0,nan,810,1773,0
no_vax_enh_ops,55,2026073055,0,nan,109,265,0
comm_base_40,55,2026073055,0,nan,218,523,40000
comm_base_60,55,2026073055,0,nan,160,422,60000
no_vax_base_ops,57,2026073057,0,nan,830,1874,0
no_vax_enh_ops,57,2026073057,0,nan,150,313,0
comm_base_40,57,2026073057,0,nan,295,738,40000
comm_base_60,57,2026073057,0,nan,187,444,60000
no_vax_base_ops,59,2026073059,0,nan,1011,2179,0
no_vax_enh_ops,59,2026073059,0,nan,169,359,0
comm_base_40,59,2026073059,0,nan,231,564,40000
comm_base_60,59,2026073059,0,nan,151,367,60000
no_vax_base_ops,58,2026073058,0,nan,734,1655,0
no_vax_enh_ops,58,2026073058,1,80.7828909592709,104,235,0
comm_base_40,58,2026073058,0,nan,232,538,40000
comm_base_60,58,2026073058,0,nan,116,308,60000
no_vax_base_ops,61,2026073061,0,nan,847,1837,0
no_vax_enh_ops,61,2026073061,0,nan,135,272,0
comm_base_40,61,2026073061,0,nan,299,676,40000
comm_base_60,61,2026073061,0,nan,168,430,60000
no_vax_base_ops,60,2026073060,0,nan,685,1494,0
no_vax_enh_ops,60,2026073060,1,85.2411963645142,139,313,0
